t1_saplings_agb_cut,t1_sasa_cut,mng_case,climate,t3_dom,min,median,mean,sd,max,n
<1 kg/m2,<2 kg/m2,CL,Current,abiesach,4.834,6.2105,6.40891935483871,0.880222529114403,8.878,124
<1 kg/m2,<2 kg/m2,CL,Current,sasa_spp,0.744,3.9115,3.8784627659574467,0.9805410281794752,5.599,376
<1 kg/m2,<2 kg/m2,CL,RCP2.6 MIROC5,abiesach,1.674,3.173,3.2584609571788414,0.757722275694017,6.265,397
<1 kg/m2,<2 kg/m2,CL,RCP2.6 MIROC5,betuerma,4.438,4.438,4.438,NA,4.438,1
<1 kg/m2,<2 kg/m2,CL,RCP2.6 MIROC5,sasa_spp,1.03,2.0575,1.9869607843137256,0.4864277936620229,3.062,102
<1 kg/m2,<2 kg/m2,CL,RCP8.5 CSIRO,abiesach,6.963,13.280999999999999,13.129754,1.5164804460891481,18.299,500
<1 kg/m2,<2 kg/m2,CL,RCP8.5 GFDL,abiesach,8.935,15.972999999999999,15.835130177514793,1.7943455137643198,21.381,338
<1 kg/m2,<2 kg/m2,CL,RCP8.5 GFDL,acermono,15.524,17.747999999999998,17.436,1.4852287365924484,19.124,6
<1 kg/m2,<2 kg/m2,CL,RCP8.5 GFDL,betuerma,17.622,18.987,19.6436,1.813161961877647,22.458,5
<1 kg/m2,<2 kg/m2,CL,RCP8.5 GFDL,fagucren,11.896,16.645,16.730754966887417,2.044695504525103,21.599,151
<1 kg/m2,<2 kg/m2,CL,RCP8.5 HadGEM2,abiesach,8.44,15.436,15.40484133611691,1.8876822209370214,22.562,479
<1 kg/m2,<2 kg/m2,CL,RCP8.5 HadGEM2,betuerma,19.587,19.587,19.587,NA,19.587,1
<1 kg/m2,<2 kg/m2,CL,RCP8.5 HadGEM2,fagucren,14.843,17.2455,17.11515,1.07032745973026,19.119,20
<1 kg/m2,<2 kg/m2,SL,Current,abiesach,4.933,15.3065,15.107231404958677,1.1770940022046579,16.755,484
<1 kg/m2,<2 kg/m2,SL,Current,larikaem,12.47,12.619,12.6304,0.08819196234477499,12.779,10
<1 kg/m2,<2 kg/m2,SL,Current,sasa_spp,1.157,4.5455000000000005,4.162333333333334,1.718253958722827,6.029,6
<1 kg/m2,<2 kg/m2,SL,RCP2.6 MIROC5,abiesach,2.325,10.92,10.746247443762782,1.706662313455918,14.737,489
<1 kg/m2,<2 kg/m2,SL,RCP2.6 MIROC5,larikaem,11.699,11.747499999999999,11.7848,0.09193814345646899,11.926,10
<1 kg/m2,<2 kg/m2,SL,RCP2.6 MIROC5,sasa_spp,3.316,3.316,3.316,NA,3.316,1
<1 kg/m2,<2 kg/m2,SL,RCP8.5 CSIRO,abiesach,5.382,11.811,11.527036734693878,1.898625080686498,15.907,490
<1 kg/m2,<2 kg/m2,SL,RCP8.5 CSIRO,larikaem,10.009,10.1805,11.288,1.562952689978526,14.103,10
<1 kg/m2,<2 kg/m2,SL,RCP8.5 GFDL,abiesach,8.192,11.198,11.172244353182752,1.5277742989333936,20.508,487
<1 kg/m2,<2 kg/m2,SL,RCP8.5 GFDL,acermono,19.547,19.547,19.547,NA,19.547,1
<1 kg/m2,<2 kg/m2,SL,RCP8.5 GFDL,fagucren,18.887,19.4085,19.4085,0.7375123727775685,19.93,2
<1 kg/m2,<2 kg/m2,SL,RCP8.5 GFDL,larikaem,13.649,14.796,14.610199999999999,0.6878416807505766,15.427,10
<1 kg/m2,<2 kg/m2,SL,RCP8.5 HadGEM2,abiesach,7.697,12.646999999999998,12.634810204081633,1.4328297450929999,18.089,490
<1 kg/m2,<2 kg/m2,SL,RCP8.5 HadGEM2,larikaem,11.37,12.846499999999999,12.5848,0.8535607509460331,13.461,10
<1 kg/m2,<3 kg/m2,CL,Current,sasa_spp,0.373,1.583,1.6682122370936903,0.7040065580810466,5.543,2615
<1 kg/m2,<3 kg/m2,CL,RCP2.6 MIROC5,abiesach,1.659,2.534,2.645514084507042,0.4843931750418973,4.521,142
<1 kg/m2,<3 kg/m2,CL,RCP2.6 MIROC5,betuerma,1,1.601,1.797157894736842,0.5811552776727725,3.247,57
<1 kg/m2,<3 kg/m2,CL,RCP2.6 MIROC5,fagucren,1.972,2.12,2.12,0.20930360723121794,2.268,2
<1 kg/m2,<3 kg/m2,CL,RCP2.6 MIROC5,sasa_spp,0.378,1.5185,1.5082431648715824,0.47129857739218145,3.14,2414
<1 kg/m2,<3 kg/m2,CL,RCP8.5 CSIRO,abiesach,2.874,8.607,8.796366031390134,2.0726861100006766,15.698,1784
<1 kg/m2,<3 kg/m2,CL,RCP8.5 CSIRO,acermono,3.679,3.679,3.679,NA,3.679,1
<1 kg/m2,<3 kg/m2,CL,RCP8.5 CSIRO,betuerma,1.875,2.9770000000000003,2.9990928571428572,0.4630304913500142,4.449,140
<1 kg/m2,<3 kg/m2,CL,RCP8.5 CSIRO,fagucren,1.305,2.914,2.993044481054366,0.6482879430423478,5.144,607
<1 kg/m2,<3 kg/m2,CL,RCP8.5 CSIRO,sasa_spp,0.794,1.953,1.9347951807228916,0.43492858284046276,3.113,83
<1 kg/m2,<3 kg/m2,CL,RCP8.5 GFDL,abiesach,8.803,18.826,18.345557723577237,2.4842724177848927,22.599,615
<1 kg/m2,<3 kg/m2,CL,RCP8.5 GFDL,acermono,15.495,18.051,18.095387096774193,1.4972159647697088,20.903,31
<1 kg/m2,<3 kg/m2,CL,RCP8.5 GFDL,betuerma,10.77,13.176,13.917042735042735,2.448577315268527,22.051,117
<1 kg/m2,<3 kg/m2,CL,RCP8.5 GFDL,fagucren,5.336,16.061,15.897663606911447,2.907948730505318,22.359,1852
<1 kg/m2,<3 kg/m2,CL,RCP8.5 HadGEM2,abiesach,5.359,17.266,17.181432584269665,3.837954034544954,24.061,1602
<1 kg/m2,<3 kg/m2,CL,RCP8.5 HadGEM2,acermono,16.286,16.286,16.286,NA,16.286,1
<1 kg/m2,<3 kg/m2,CL,RCP8.5 HadGEM2,betuerma,4.871,12.9185,13.735077669902912,3.6835888973485718,23.443,206
<1 kg/m2,<3 kg/m2,CL,RCP8.5 HadGEM2,fagucren,2.335,10.5975,10.883651364764267,4.9332672530589425,23.579,806
<1 kg/m2,<3 kg/m2,SL,Current,abiesach,5.584,15.048,13.580513513513514,3.444444769903303,17.106,185
<1 kg/m2,<3 kg/m2,SL,Current,sasa_spp,0.352,2.217,2.362479423868313,1.071757171054022,6.486,2430
<1 kg/m2,<3 kg/m2,SL,RCP2.6 MIROC5,abiesach,1.822,3.9720000000000004,5.960474576271187,3.635733853471686,14.999,472
<1 kg/m2,<3 kg/m2,SL,RCP2.6 MIROC5,acermono,2.729,3.048,3.0772,0.27716186606385806,3.452,5
<1 kg/m2,<3 kg/m2,SL,RCP2.6 MIROC5,betuerma,1.055,2.313,2.3994,0.8829308175454227,4.098,15
<1 kg/m2,<3 kg/m2,SL,RCP2.6 MIROC5,fagucren,1.523,2.435,2.513829679595278,0.6531045943374313,4.995,593
<1 kg/m2,<3 kg/m2,SL,RCP2.6 MIROC5,sasa_spp,0.407,2.0214999999999996,2.0003745098039216,0.6578430429816825,3.945,1530
<1 kg/m2,<3 kg/m2,SL,RCP8.5 CSIRO,abiesach,3.532,9.634,9.86152,2.3552518056950915,17.427,1775
<1 kg/m2,<3 kg/m2,SL,RCP8.5 CSIRO,acermono,4.609,4.763,4.9498,0.5121549570198457,5.856,5
<1 kg/m2,<3 kg/m2,SL,RCP8.5 CSIRO,betuerma,2.717,3.0735,3.012,0.25121385312120026,3.378,6
<1 kg/m2,<3 kg/m2,SL,RCP8.5 CSIRO,fagucren,1.381,3.5755,3.612658415841584,0.8596358669204794,8.697,808
<1 kg/m2,<3 kg/m2,SL,RCP8.5 CSIRO,sasa_spp,1.358,1.928,1.8846666666666667,0.2217909676549821,2.226,21
<1 kg/m2,<3 kg/m2,SL,RCP8.5 GFDL,abiesach,9.331,17.704,16.81184854368932,4.102113252525999,23.737,515
<1 kg/m2,<3 kg/m2,SL,RCP8.5 GFDL,acermono,16.367,19.919,19.680809523809526,1.6424098212876925,23.278,105
<1 kg/m2,<3 kg/m2,SL,RCP8.5 GFDL,betuerma,8.796,14.1695,14.174041666666668,2.92561093551663,20.361,24
<1 kg/m2,<3 kg/m2,SL,RCP8.5 GFDL,fagucren,5.152,16.608,16.591383054287164,3.257558428427071,24.011,1971
<1 kg/m2,<3 kg/m2,SL,RCP8.5 HadGEM2,abiesach,6.6,16.67,16.750057287889774,4.4123818282218,24.375,1379
<1 kg/m2,<3 kg/m2,SL,RCP8.5 HadGEM2,acermono,10.648,20.349,19.74688888888889,3.7265825519287605,23.591,18
<1 kg/m2,<3 kg/m2,SL,RCP8.5 HadGEM2,betuerma,8.069,11.86,12.842641025641026,3.108142095979352,23.759,39
<1 kg/m2,<3 kg/m2,SL,RCP8.5 HadGEM2,fagucren,3.001,12.637,12.223279898218829,5.673513120820009,25.044,1179
<1 kg/m2,<5 kg/m2,CL,Current,sasa_spp,0.651,1.5,1.5160883720930232,0.40989690788965594,3.219,645
